Period,Application_ID,Cost,Source,Source_Item
2019-01,SISLAB,0.0,Azure,Standard HDD Managed Disks - Disk Operations
2019-06,TMA,4.0,Azure,Azure Monitor - Alerts - System Logs Monitored at 15 Minute Frequency
2019-02,SISLAB,0.0,Azure,Bandwidth - Data Transfer Out - Zone 2
2019-06,PYTHIA,0.0,Azure,Tables - Batch Write Operations
2019-06,GEORE1,64.0,Azure,Azure Database for PostgreSQL General Purpose - Storage - Data Stored - EU West
2019-05,PYTHIA,20.0,Azure,Container Registry - Standard - Registry Units
2019-03,GEORE1,0.0,Azure,Premium SSD Managed Disks - P4 - Disks - EU West
2019-09,SISLAB,3.0,Azure,Standard HDD Managed Disks - S4 - Disks - EU West
2019-04,PYTHIA,3906.0,Utilization,IBM Slovakia
2019-01,OCR,3804.0,Utilization,TCS
2017-05,DSW,1466.0,Utilization,Vimal Kumar
2019-02,INSIGHTSRE,1466.0,Utilization,Subhradeep Das
2018-08,TMA,5277.0,Utilization,Rajesh Mahadevaiyer
2019-02,PYTHIA,489.0,Utilization,Vimal Kumar
2019-07,PYTHIA,1349.0,Group Technology Management,Server Instances - Swisscom ESC
2019-02,DNA,213.0,Group Technology Management,Swisscom Application Cloud Memory
2019-05,DOCSEARCH,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-01,DSW,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-09,SAMS,26.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-06,DOCSEARCH,1633.0,Group Technology Management,Oracle Database GB Allocated
2019-09,SAMS,22.0,Swisscom,Enterprise Service Cloud Platinum Standard Memory units
2019-08,DSC,2051.0,Swisscom,Enterprise Service Cloud Platinum Basic vCPU units
2019-05,DSC,4041.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-08,DATAROBOT,5.0,Swisscom,Enterprise Service Cloud Platinum Standard vCPU units
2019-05,GEORE1,3.0,Azure,Bandwidth - Data Transfer Out - Zone 1
2019-01,GEORE1,1.0,Azure,Standard Page Blob v2 - RA-GRS Data Stored - EU West
2019-02,GEORE1,93.0,Azure,Tiered Block Blob - Hot RA-GRS - Data Stored - EU West
2019-08,TMA,0.0,Azure,Azure App Service Free Plan - F1
2019-06,GEORE1,0.0,Azure,Files - GRS - Write Operations
2019-02,GEORE1,33.0,Azure,Premium SSD Managed Disks - P30 - Disks - EU West
2019-08,SISLAB,52.0,Azure,Azure App Service Basic Plan - Linux - B3 - EU West - Promo
2019-09,SISLAB,8.0,Azure,Standard HDD Managed Disks - S10 - Disks - EU West
2019-08,TMA,0.0,Azure,Azure App Service Basic Plan - Linux - B1 - EU West - Promo
2019-01,INSIGHTSRE,7871.0,Swisscom,"Enterprise Cloud Storage ""fast"" units"
2019-01,INSIGHTSRE,606.0,Swisscom,"Enterprise Cloud Backup Storage ""remote"" units"
2019-04,INSIGHTSRE,7921.0,Swisscom,Enterprise Service Cloud Platinum Standard Memory units
2019-04,INSIGHTSRE,6920.0,Swisscom,Enterprise Service Cloud Platinum Standard Fast Storage units
2019-03,INSIGHTSRE,3.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-01,INSIGHTSRE,22.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-02,DSW,1837.0,Swisscom,"Enterprise Service Cloud Platinum Standard Backup ""remote"" units"
2019-02,TMA,231.0,Swisscom,"Application Cloud MongoDB ""medium"" units"
2019-09,DSW,104.0,Swisscom,"Enterprise Service Cloud Platinum Advanced Backup ""remote/local"" units"
2019-02,PYTHIA,710.0,Group Technology Management,Tableau Projects 2019+
2019-02,WATSONEXP,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-04,PYTHIA,109.0,Group Technology Management,Microsoft SQL Database GB Allocated
2019-07,LHTI,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-07,GEORE1,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-02,DOCSEARCH,170.0,Group Technology Management,Developer Workplace: WIKI
2019-04,DOCSEARCH,170.0,Group Technology Management,Developer Workplace: WIKI
2019-09,SISLAB,170.0,Group Technology Management,Developer Workplace: WIKI
2018-09,DSW,4399.0,Utilization,Vimal Kumar
2017-01,OCR,11593.0,Utilization,CTCO
